Name,Type,Downloads
BytePlus Pte. Ltd.,Commercial,249
Claremont University Consortium,Education,175
The Reed Institute,Education,92
Amherst Telephone Co,Commercial,63
Christopher Newport University,Education,49
Connecticut State Colleges & Universities Connecticut State University System,Education,40
CCCS,Commercial,36
Texas A&M International University,Education,34
Oracle Corporation,Commercial,27
Octopus Web Solution Inc,Commercial,27
University of Toronto,Education,18
Purdue University,Education,18
Cartus Corporation,Commercial,18
University of Washington,Education,16
University of Virginia,Education,16
Tufts University,Education,16
University of Alabama,Education,16
Universidad Eafit,Education,16
ABB Information Systems Ltd.,Commercial,16
University of Tennessee at Chattanooga,Education,15
University of Massachusetts - Amherst,Education,14
Microsoft Limited,Commercial,13
Consortium GARR,Education,13
University of the Incarnate Word,Education,12
Air Force Systems Networking,Military,12
St. Louis University,Education,11
CENIC,Organization,11
Carleton College,Education,11
NIT Goa,Commercial,11
Gatik Business Solutions,Commercial,11
James Madison University,Education,10
Stanford University,Education,10
San Diego State University,Education,10
Shenandoah University,Education,10
Louisiana State University,Education,9
University of California Santa Cruz,Education,9
University of California Irvine,Education,9
Appalachian State University,Education,9
University of La Verne,Education,9
Kwame Nkrumah University of Science and Technology,Education,9
University of California San Diego,Education,8
Colorado School of Mines,Education,8
Universiti Sains Malaysia Penang Malaysia,Education,8
China Education and Research Network,Education,8
Coe College,Education,8
The University of Edinburgh,Education,8
UNE Epm Telecomunicaciones S.A.,Commercial,8
State University of New York at Stony Brook,Education,7
University of Cambridge,Education,7
Massachusetts Institute of Technology,Education,7
Brown University,Education,7
Princeton University,Education,7
Kansas State University,Education,7
Denison University,Education,7
"Saint Mary's College",Education,7
National University of Singapore,Education,7
Office of Info.Tech. Admin. for Educational Development,Commercial,7
University of Oxford,Education,7
"Institut National de Recherche Pour l'Agriculture l'Alimentation et l'Environnement (INRAE) EPA",Education,7
Swarthmore College,Education,6
University of Leicester,Education,6
Ohio State University,Education,6
Delft University of Technology Network,Education,6
Georgia Institute of Technology,Education,6
Universite Laval,Education,6
McGill University,Education,6
Harvard University,Education,6
University of Michigan,Education,6
Boston University,Education,6
Bryn Mawr College,Education,6
Worcester Polytechnic Institute,Education,6
The University of Melbourne,Education,6
University of Indonesia,Education,6
Forschungszentrum Juelich GmbH,Commercial,6
Letourneau University,Education,6
National University of Lesotho,Education,6
Wageningen Universiteit,Education,6
Aakash Internet Services Private Limited,Commercial,6
University of Warwick,Education,6
Birla Institute Of Technology And Science,Education,6
Arthur Andersen & Co. S.C.,Commercial,6
Equinox Technologies LLC,Commercial,6
New York University,Education,5
University of California Riverside,Education,5
University of New Hampshire,Education,5
University of British Columbia,Education,5
University of Durham,Education,5
Indian Institute of Technology Kharagpur India,Education,5
University of Calgary,Education,5
Smith College,Education,5
National Aeronautics and Space Administration,Government,5
University of Johannesburg,Education,5
Rochester Institute of Technology,Education,5
California Institute of Technology,Education,5
Ministry of Education Computer Center,Education,5
Technische Universitaet Chemnitz,Education,5
Union College,Education,5
"St Joseph's College",Education,5
Tiscali MVNO Service,Commercial,5
NSW Department of Education,Education,5
"Queen's University at Kingston",Education,5
Menlo Security Inc.,Commercial,5
Vera T Garfield,Commercial,5
"Universita' degli Studi di Torino",Education,5
Big Data Analytics Sdn Bhd,Commercial,5
TechCollege S/I,Commercial,5
Fajar Technology LLC,Commercial,5
Rutgers University,Education,5
University of Texas at Austin,Education,4
George Mason University,Education,4
Washington State Board for Community & Technical Colleges,Education,4
Duke University,Education,4
Danmarks Tekniske Universitet,Education,4
University of California Santa Barbara,Education,4
Universiteit Twente,Education,4
IIT Kanpur Campus Network,Education,4
The Catholic University of America,Education,4
University of Notre Dame,Education,4
Queens University of Charlotte,Education,4
Washington University,Education,4
Middlebury College,Education,4
University of Arizona,Education,4
Universiti Malaysia Sarawak,Education,4
North Carolina State University,Education,4
Colleges of the Fenway Inc.,Education,4
Norwegian University of Science and Technology,Education,4
Kyiv National Taras Shevchenko University,Education,4
Norsk Helsenett Sf,Commercial,4
Ball State University,Education,4
Texas A&M University at Galveston,Education,4
University of the South,Education,4
Universite Pierre et Marie Curie,Education,4
University of Wisconsin-Parkside,Education,4
Western Kentucky University,Education,4
KISTI,Government,4
University of Lancaster,Education,4
Washington & Jefferson College,Education,4
Indian Institute of Science Education and Research Pune,Organization,4
SC ITNS.NET SRL,Commercial,4
Cluster Logic Inc,Commercial,4
Legaco Networks B.V.,Commercial,4
IIT Madras,Education,4
Suke Network Limited,Organization,4
Myxa Corporation,Commercial,4
University System of Maryland,Education,4
Win-Win Hotel Investment DBA Best Western Los Ange,Commercial,4
Synergy Peak LLC,Commercial,4
Georgia Department of Education,Education,3
Universidade de Sao Paulo,Education,3
Illinois Institute of Technology,Education,3
University of Pennsylvania,Education,3
University of California Los Angeles,Education,3
Columbia University,Education,3
University of Florida,Education,3
Temple University,Education,3
Washington State University,Education,3
University of Minnesota,Education,3
Texas A&M University,Education,3
Cornell University,Education,3
Carnegie Mellon University,Education,3
University of Maryland,Education,3
Arizona State University,Education,3
Northeastern University,Education,3
University of Kentucky,Education,3
North Dakota State University - Computer Center,Education,3
London School of Economics and Political Science,Education,3
University of Illinois,Education,3
The George Washington University,Education,3
University of Georgia,Education,3
College of Wooster,Education,3
Villanova University,Education,3
University of Newcastle upon Tyne,Education,3
Northern Illinois University,Education,3
University of California at Berkeley,Education,3
Northwestern Memorial Hospital,Organization,3
University of Guelph,Education,3
Binghamton University,Education,3
Hoffmann Laroche Inc.,Commercial,3
Rice University,Education,3
Marquette University,Education,3
University of Lagos,Education,3
Oregon State University,Education,3
San Bernardino County Superintendent of Schools,Education,3
Universiteit Maastricht,Education,3
Fundacao Para a Ciencia e a Tecnologia I.P.,Government,3
The University of St. Andrews,Education,3
Colgate University,Education,3
Universiti Teknologi MARA,Education,3
Wellesley College,Education,3
Universiteit Utrecht,Education,3
University of the Pacific,Education,3
UAB Balticum TV,Education,3
Grand Canyon University,Education,3
Universidade Federal de Sergipe,Commercial,3
IBM,Commercial,3
