Name,Type,Downloads
New York University,Education,112
"St Michael's College",Education,96
Brown University,Education,23
Claremont University Consortium,Education,20
University of Puget Sound,Education,19
Bates College,Education,19
Stanford University,Education,15
Columbia University,Education,12
Celestica International Inc,Commercial,12
Danmarks Tekniske Universitet,Education,11
Harvard University,Education,11
Macalester College,Education,10
Universiteit van Amsterdam,Education,10
Indian Institute of Science Bangalore,Education,10
Christopher Newport University,Education,10
AMC Theatres,Commercial,10
James Madison University,Education,9
New Jersey Institute of Technology,Education,9
"Xi'an Jiaotong - Liverpool University",Education,9
University of Chicago,Education,8
Dickinson College,Education,8
Oberlin College,Education,7
University of Notre Dame,Education,7
University of Dayton,Education,7
Colorado State University,Education,6
University of Maryland,Education,6
Massachusetts Institute of Technology,Education,6
Michigan State University,Education,6
University of Massachusetts,Education,6
Colleges of the Fenway Inc.,Education,6
Pern-Pakistan Education & Research Network is an,Library,6
Fudan University,Education,6
Mansfield University of Pennsylvania,Education,6
Kate Spade & Company,Commercial,6
Auvea Ingenierie,Commercial,6
University Commons at Minneapolis,Education,6
Yale University,Education,5
Johns Hopkins University,Education,5
Rose-Hulman Institute of Technology,Education,5
Appalachian State University,Education,5
Union College,Education,5
NTU,Education,5
Shibaura Institute of Technology,Education,5
P.W. MARTON Mariusz Trabczynski,Commercial,5
Inha University,Education,5
Chowan University,Education,5
Indiana University,Education,4
CSU Monterey Bay,Education,4
Georgia Department of Education,Education,4
University of Pennsylvania,Education,4
Arizona State University,Education,4
Board of Regents of the University System of Georgia,Education,4
Florida International University,Education,4
Trinity University,Education,4
Oxford University,Education,4
Fundacao Para a Ciencia e a Tecnologia I.P.,Government,4
Capital One Financial Corporation,Commercial,4
Colorado College,Education,4
University of Rwanda for Use at Its College of Science and Technology Campus,Education,4
KISTI,Government,4
Citta Studi S.p.A.,Commercial,4
The University of Manchester,Education,4
Espaco Digital,Commercial,4
Eliana Vanessa Morocho Ona,Commercial,4
Unit 1307 13/F Nanyang Plaza 57 Hung to Road Kwun Tong,Commercial,4
n2i Solutions Pvt. Ltd.,Commercial,4
MTI Technology Corporation,Commercial,4
Ohio State University,Education,3
State University of New York at Stony Brook,Education,3
University of Florida,Education,3
George Mason University,Education,3
Georgia Institute of Technology,Education,3
University of Washington,Education,3
Boston College,Education,3
The Bloomsbury Computing Consortium,Education,3
University of British Columbia,Education,3
U.S. Fish and Wildlife Service IRM/BFO HQ,Government,3
University of Georgia,Education,3
University of Central Florida,Education,3
University of California at Berkeley,Education,3
Rochester Institute of Technology,Education,3
Saxion Hogeschool IJselland te Deventer,Commercial,3
St. Lawrence University,Education,3
Lake Forest College,Education,3
Indian Intitute of Technology (IIT)-Gujarat,Education,3
Hamilton College,Education,3
NUS,Education,3
Korean Education Network,Education,3
Universitaet Duisburg-Essen,Education,3
Maseno University Town Campus,Education,3
Embry-Riddle Aeronautical University - Daytona Beach,Education,3
Satnet Cuenca Servers,Commercial,3
Fachhochschule Trier,Education,3
This Assignment is Made to the College of Medicine a Constituent College of the University of Malawi,Education,3
Universidad de Adolfo Ibanez,Education,3
Kit Carson Electric Cooperative Inc,Commercial,3
LaGrange College,Education,3
Hochschule Merseburg,Commercial,3
Work Banda Larga,Commercial,3
NUS High School of Mathematics and Science,Education,3
MYREN Infrastructure,Commercial,3
Freedom Internet,Commercial,3
Global Networks Infocomm Pvt Ltd,Commercial,3
Internet O Sul Comercio e Servicos Ltda,Commercial,3
Kwame Nkrumah University of Science and Technology,Education,3
PC Net,Commercial,3
Montana State University Bozem,Education,3
St Marys Hall,Organization,3
Agrihold,Commercial,3
African Institute for Mathematical Sciences Ghana,Education,3
University of Utah,Education,2
Department of Education,Government,2
Cornell University,Education,2
Mississippi State University,Education,2
Virginia Polytechnic Institute and State Univ.,Education,2
Queens University Belfast,Education,2
Duke University,Education,2
Brigham Young University,Education,2
University of Missouri-Columbia,Education,2
North Carolina Research and Education Network,Education,2
Texas Tech University,Education,2
American University,Education,2
Emory University,Education,2
Arlington County Government,Government,2
Purdue University,Education,2
Dartmouth College,Education,2
Indian Institute of Technology (IIT) Guwahati,Education,2
Boston University,Education,2
Marquette University,Education,2
Creighton University,Education,2
University of California San Diego,Education,2
Tulane University,Education,2
Oregon State University,Education,2
University of California Irvine,Education,2
North Carolina State University,Education,2
Central Michigan University,Education,2
University of Hertfordshire,Education,2
Mount Holyoke College,Education,2
Pacific Lutheran University,Education,2
Bilkent University,Education,2
Tufts University,Education,2
Orange County Public Schools,Education,2
California State University San Bernardino,Education,2
Bard College,Education,2
The University of Birmingham,Education,2
Stasishen Aleksandr Afanasiyovich,Commercial,2
CUHK,Education,2
University of Exeter,Education,2
Highland Communications,Commercial,2
Politechnika Warszawska,Education,2
JSM Management Inc.,Commercial,2
Colby College,Education,2
Ankhnet Informations Pvt. Ltd.,Commercial,2
Karlsruhe Institute of Technology,Education,2
Universidad de Santiago de Compostela,Education,2
Ecole Centrale Paris,Commercial,2
Zhejiang University,Education,2
Technological University Dublin,Education,2
Firat University,Education,2
Hope College,Education,2
UFB,Commercial,2
Commack Ufsd,Commercial,2
Hancock Telephone,Commercial,2
Amnet Cable San Pedro Sula,Commercial,2
Evdo Customers,Commercial,2
FineMEDIA s.c.,Commercial,2
Youngstown State University,Education,2
Green Farms Academy,Commercial,2
Comm & Net S.A.,Commercial,2
Universidad Tecnologica de la Mixteca,Education,2
Hardin Simmons University,Education,2
Villas at Vista Del Sol,Commercial,2
American Mathematical Society,Organization,2
Tandberg Data,Commercial,2
Etisalat Lanka (Private) Limited.,Commercial,2
Munites,Commercial,2
Kyambogo University,Education,2
JSC Amtkom,Commercial,2
Astrium sas,Commercial,2
ADSL Pro,Commercial,2
S.R.Network.Solution,Commercial,2
Escuela Superior de Comunicacion S.A.,Commercial,2
Critical Path Inc.,Commercial,2
Sagar Vision,Commercial,2
Raaj Internet I Pvt Ltd,Commercial,2
Universite de Nice,Education,2
Strategic Research Insights,Commercial,2
Airmobile.co.za,Commercial,2
Hewlett Packard Enterprise Company,Commercial,2
Nasstar South Limited,Commercial,2
Agis,Commercial,2
Parknet F.M.B.A,Commercial,2
Ianciuc Invest SRL,Commercial,2
Multikom S.A.,Commercial,2
Origin Energy Retail Limited,Organization,2
Bule Hora University,Education,2
Bangladesh University of Engineering and Technology,Education,2
Unit 1205 12/F Cyberport 2 100 Cyberport Road Hong Kong,Commercial,2
BeachRoad,Commercial,2
Internet Management LLC,Commercial,2
Openwave Messaging,Commercial,2
Auto-Trol Technology Corporation,Commercial,2
State of Delaware,Government,1
Swansea University,Education,1
University of Texas at Austin,Education,1
The Johns Hopkins Medical Institutions,Education,1
Illinois Institute of Technology,Education,1
University of California Merced,Education,1
University of California Los Angeles,Education,1
Delft University of Technology Network,Education,1
The City of New York,Government,1
Florida State University,Education,1
Texas A&M University,Education,1
Universitaet zu Koeln,Education,1
California State University Office of the Chancellor,Education,1
Education and Research in Oregon,Education,1
University of Cambridge,Education,1
University of Toronto,Education,1
University of California San Francisco,Education,1
Concordia University,Education,1
Northeastern University,Education,1
University of Leeds,Education,1
University of Missouri - DBA the Missouri Research and Education Network,Education,1
DoD Network Information Center,Military,1
California State University East Bay,Education,1
The School District of Palm Beach County,Education,1
University of Houston,Education,1
University of Illinois,Education,1
University of New Hampshire,Education,1
University of the Witwatersrand,Education,1
The University of Texas Health Science Center at Houston,Education,1
Case Western Reserve University,Education,1
University of Texas at Dallas,Education,1
Ludwig-Maximilians-Universitaet Muenchen,Education,1
West Virginia University,Education,1
University of Iowa,Education,1
University of Massachusetts - Lowell,Education,1
University of Virginia,Education,1
Ahmadu Bello University Zaria Nigeria,Education,1
Hunton & Williams,Commercial,1
Carroll College,Education,1
University of North Carolina at Chapel Hill,Education,1
Indiana University - Purdue University Fort Wayne,Education,1
Gettysburg College,Education,1
Leidos Inc.,Commercial,1
University of Illinois at Chicago,Education,1
University of Colorado,Education,1
U.S. Center for Disease Control and Prevention,Government,1
Keewaytinook Okimakanak,Organization,1
British Columbia Institute of Technology,Education,1
University of Miami,Education,1
Indiana Department of Education,Education,1
SUNY College at Cortland,Education,1
University of the West Indies,Education,1
Pima Community College,Education,1
University of Calgary,Education,1
Xerox Corporation,Commercial,1
Lehigh University,Education,1
The Catholic University of America,Education,1
Seton Hall University,Education,1
Woods Hole Oceanographic Institution,Education,1
Queen Mary and Westfield College University of London,Education,1
Rice University,Education,1
University of North Carolina at Wilmington,Education,1
The University of Texas - Pan American,Education,1
Washington University,Education,1
University of Lagos,Education,1
University of Northern British Columbia,Education,1
Middlebury College,Education,1
University of Arizona,Education,1
Davenport University,Education,1
Kansas State University,Education,1
LEKOS s.r.o.,Commercial,1
University of Louisiana at Lafayette,Education,1
Compudyne Inc.,Commercial,1
Westminster College of Salt Lake City,Education,1
University of South Carolina,Education,1
University of Alberta,Education,1
University of Alaska,Education,1
University of Keele,Education,1
University of Wisconsin - Eau Claire,Education,1
Washington School Information Processing Cooperative,Education,1
City of Philadelphia,Government,1
University of St. Thomas,Education,1
Oakland Schools,Education,1
Butler University,Education,1
University of North Carolina at Charlotte,Education,1
Bethany Lutheran College,Education,1
Chapman University,Education,1
SUNY Geneseo Computer Center,Education,1
College of the Sequoias,Education,1
University of Tehran Informatics Center,Education,1
Augustana College,Education,1
Kenyon College,Education,1
Haskolinn i Reykjavik,Education,1
University of Tokyo,Education,1
Universitaet Hamburg Campus Net,Education,1
Nigerian Research and Education Network Limited by Guarantee,Education,1
Bucknell University,Education,1
Hewlett-Packard Company,Commercial,1
Niagara University,Education,1
Bryant University,Education,1
Korea University,Education,1
State of North Dakota Itd,Government,1
Northern Michigan University,Education,1
Korea Advanced Institute of Science and Technology,Education,1
St. Olaf College,Education,1
Arkansas Public School Computer Network,Education,1
Bergen University Norway,Education,1
Worcester Polytechnic Institute,Education,1
University of York,Education,1
Longwood University,Education,1
Reed College,Education,1
University of Northumbria at Newcastle,Education,1
Los Angeles Unified School District,Education,1
Luther College,Education,1
Federal-Mogul Corporation,Commercial,1
Mercy College,Education,1
Metropolitan Community Colleges,Education,1
Birmingham-Southern College,Education,1
Amherst College,Education,1
Southeast Missouri State University,Education,1
Carleton College,Education,1
Auckland University of Technology Network,Education,1
Kocaeli University,Education,1
Northwest Regional ESD,Education,1
University College Galway,Education,1
Brno University of Technology,Education,1
Stichting Duwo,Commercial,1
Hamara System Tabriz Engineering Company,Commercial,1
Grand Canyon University,Education,1
Malaviya National Institute of Technology Jaipur,Education,1
Auckland College of Education,Education,1
Langston University,Education,1
The Procter and Gamble Company,Commercial,1
Seoul National University,Education,1
Norfolk State University,Education,1
Virginia Community College System,Education,1
Univer,Commercial,1
Oracle Corporation,Commercial,1
Marshall Municipal Utilities,Commercial,1
The University of Kansas,Education,1
Information Technology Services Centre,Education,1
Vienna University Computer Center,Education,1
Universidade Federal de Uberlandia - U F U,Education,1
Vitro Corporation,Commercial,1
Arapahoe School District,Education,1
Universitaet Leipzig,Education,1
Hampton University,Education,1
ENSTA Paristech - Ecole Nationale Superieure des Techniques Avancees,Commercial,1
Swosu Weatherford,Education,1
Royal Holloway and Bedford New College,Education,1
University of Thessaly,Education,1
University of Lausanne,Education,1
Rensselaer Hartford Graduate Center,Education,1
University of Sydney,Education,1
University of Houston - Downtown,Education,1
Thompson Rivers University,Education,1
City of Chandler,Government,1
Monash University,Education,1
Azusa Pacific University,Education,1
Oakland Unified School District,Education,1
Wolfram Research Inc.,Commercial,1
Universidad Complutense de Madrid,Education,1
University of Adelaide,Education,1
CIS,Commercial,1
American University of Sharjah,Education,1
The University of Hong Kong,Education,1
Curtin University of Technology,Education,1
Lanka Education and Research Network,Education,1
WestTel Ltd.,Commercial,1
Hong Kong University of Science and Technology,Education,1
Chung-Ang University,Education,1
East-Zone for Huazhong University of Science and Technology,Education,1
Government Service Network,Government,1
Okinawa Institute of Science and Technology,Organization,1
Netnam Corporation,Commercial,1
Clarkson University,Education,1
Singapore Management University,Education,1
Hong Kong Baptist University,Education,1
Babasaheb Bhimrao Ambedkar University (Brau) Lucknow,Education,1
Tsinghua University,Education,1
Peking University New Campus Network,Education,1
Dongguk University,Education,1
Chungnam National University,Education,1
EBR Informatica Ltda,Commercial,1
Mangalore University Mangalore,Education,1
Regional POP,Commercial,1
Delhi University South Campus,Education,1
Guru Gobind Singh Indraprastha University (Ggsip) University Dwarka,Education,1
Akademska mreza Republike Srbije - AMRES,Education,1
Champaign Metro,Commercial,1
GCI Communications Inc.,Commercial,1
The Director,Commercial,1
Herningsholm Erhvervsskole,Commercial,1
Commission for Science and Technology for,Government,1
University of Malta,Education,1
Nanjing Institute of Meteorology,Education,1
Brisbane City Council,Government,1
Delhi University North Campus,Education,1
"Universita' degli Studi di Milano-Bicocca",Education,1
Institute of Computational Technologies of SB RAS,Organization,1
Universitaire Instelling Antwerpen - Campus Net,Education,1
Commission Europeenne,Government,1
Shahrekord University,Education,1
Academia de Studii Economice Bucuresti,Commercial,1
Indian Association for the Cultivation of Science Kolkata,Education,1
Statens Seruminstitut,Government,1
