Name,Type,Downloads
"St Michael's College",Education,138
University of California Los Angeles,Education,51
Claremont University Consortium,Education,39
California State University San Marcos,Education,31
University of Puget Sound,Education,29
Christopher Newport University,Education,26
Coe College,Education,23
Harvard University,Education,19
Universiti Sains Malaysia Penang Malaysia,Education,16
Colby College,Education,14
University of Maryland Baltimore County,Education,13
Appalachian State University,Education,13
University of Chicago,Education,12
University of Oklahoma,Education,12
University of Maryland,Education,10
Massachusetts Institute of Technology,Education,10
Pern-Pakistan Education & Research Network is an,Library,10
Macalester College,Education,10
Moec,Government,10
DoD Network Information Center,Military,9
Fundacao Para a Ciencia e a Tecnologia I.P.,Government,9
Grinnell College,Education,9
University of Tromso,Education,9
Studentenwerk Wuerzburg AoeR,Organization,9
Virginia Beach City Public Schools,Education,8
Swarthmore College,Education,8
Colorado State University,Education,8
University of Utah,Education,8
Georgia Institute of Technology,Education,8
Danmarks Tekniske Universitet,Education,8
Case Western Reserve University,Education,8
University of California San Diego,Education,8
Virginia Community College System,Education,8
ICT Center,Commercial,8
University of Minnesota,Education,7
Adelphi University,Education,7
Colleges of the Fenway Inc.,Education,7
Bucknell University,Education,7
San Francisco State University,Education,7
Hogeschool Enschede,Commercial,7
Columbia University,Education,6
Virginia Polytechnic Institute and State Univ.,Education,6
Yale University,Education,6
University of Toronto,Education,6
McGill University,Education,6
North Carolina Research and Education Network,Education,6
University of Virginia,Education,6
Stanford University,Education,6
Brown University,Education,6
Emory University,Education,6
Princeton University,Education,6
University of Dayton,Education,6
Central Michigan University,Education,6
Technische Universitaet Bergakademie Freiberg,Education,6
IP Allocation 1 NCP Qau,Education,6
Sienna,Commercial,6
Openwave Messaging,Commercial,6
Universidad Nacional Autonoma de Mexico,Education,5
New York University,Education,5
University of Washington,Education,5
California State University Office of the Chancellor,Education,5
Northeastern University,Education,5
Board of Regents of the University System of Georgia,Education,5
Michigan State University,Education,5
Seattle University,Education,5
SUNY College at New Paltz,Education,5
Mercer University,Education,5
Ecole Centrale Paris,Commercial,5
Drake University,Education,5
KISTI,Government,5
Indian Institute of Technology,Education,5
Gatik Business Solutions,Commercial,5
Indiana University,Education,4
University of Pennsylvania,Education,4
University of Florida,Education,4
Cornell University,Education,4
Carnegie Mellon University,Education,4
University of Houston,Education,4
University of Illinois,Education,4
The Bloomsbury Computing Consortium,Education,4
Oberlin College,Education,4
Dartmouth College,Education,4
Binghamton University,Education,4
Washington University,Education,4
Rose-Hulman Institute of Technology,Education,4
California State University Long Beach,Education,4
University of Wyoming,Education,4
Niagara University,Education,4
Connecticut State University System,Education,4
Indian Institute of Technology Patna,Education,4
