Name,Type,Downloads
Oberlin College,Education,40
Virginia Polytechnic Institute and State Univ.,Education,35
Allocated to ROEDUNET Connected Highschools,Education,26
Claremont University Consortium,Education,25
Dickinson College,Education,24
Smith College,Education,18
Trinity University,Education,14
Niagara University,Education,12
Ruhr-Universitaet Bochum,Education,12
Kappa E-Ventures Private Limited,Commercial,12
California State University Office of the Chancellor,Education,11
Massachusetts Institute of Technology,Education,11
College of Western Idaho,Education,11
North Central College,Education,10
Thomas Jefferson National Accelerator Facility,Organization,9
University of Maryland,Education,8
Texas A&M University San Antonio,Education,8
Red Universitaria Nacional,Education,7
Bergen University Norway,Education,7
ICT-WiMAX Pool,Commercial,7
Loyola University Chicago,Education,6
Universiti Teknologi MARA,Education,6
Universidad de Burgos,Education,6
Anna University Chennai,Education,6
Universitatea Sapientia,Commercial,6
Alma College,Education,6
Haiti Networking Group S.A.,Commercial,6
Bangladesh Online Ltd,Commercial,6
General Motors LLC,Commercial,6
Harvard University,Education,5
Facebook Inc.,Commercial,5
Universiti Sains Malaysia Penang Malaysia,Education,5
Headquarters USAISC,Military,4
Washington State University,Education,4
Texas A&M University,Education,4
Cornell University,Education,4
University of Colorado,Education,4
Colleges of the Fenway Inc.,Education,4
Universiti Putra Malaysia Campus Network,Education,4
Rollins College,Education,4
University of Indianapolis,Education,4
KISTI,Government,4
UE Exponetial OOD,Commercial,4
Ianciuc Invest SRL,Commercial,4
University of Puget Sound,Education,3
Arizona State University,Education,3
University of British Columbia,Education,3
Emory University,Education,3
Syracuse University,Education,3
Eastern Washington University,Education,3
Bucknell University,Education,3
The College of New Jersey,Education,3
Bowdoin College,Education,3
Tehnicki fakultet Rijeka,Commercial,3
Fakultet strojarstva i brodogradnje,Commercial,3
Millersville University,Education,3
Muhlenberg College,Education,3
WiMAX Users Pool,Commercial,3
Consortium GARR,Education,3
Proszynski Media sp. z o.o.,Commercial,3
Spiral Studios,Commercial,3
"Private Joint Stock Company Datagroup'",Commercial,3
University of Warwick,Education,3
Infegy Inc.,Commercial,3
Universidad Ciencias Pedagogicas,Government,3
Five Net Service Provider Pvt. Ltd.,Commercial,3
Universitas Muhammadiyah Surakarta,Education,3
Avnet TS Spain S.L.,Commercial,3
University of Minnesota,Education,2
University of Washington,Education,2
Technische Universitaet Dresden,Education,2
University of Toronto,Education,2
Danmarks Tekniske Universitet,Education,2
McGill University,Education,2
Carleton University,Education,2
Princeton University,Education,2
Purdue University,Education,2
Bennington College,Education,2
University of Glasgow,Education,2
University of California at Berkeley,Education,2
Liverpool John Moores University,Education,2
Universidade Estadual de Campinas,Education,2
Johns Hopkins University,Education,2
University of California San Diego,Education,2
University of Dayton,Education,2
Ithaca College,Education,2
San Francisco International Airport,Commercial,2
Consorci de Serveis Universitaris de Catalunya,Education,2
Norwegian University of Science and Technology,Education,2
University of Oslo,Education,2
Instituto Nacional de Pesquisas Espaciais,Commercial,2
Florida Agricultural and Mechanical University,Education,2
University of Scranton,Education,2
Korean Education Network,Education,2
NTU,Education,2
Tianjin University,Education,2
University of Bath,Education,2
Cotel Ltda.,Commercial,2
University of Portland,Education,2
University of Venda,Education,2
Omnova Solutions Inc,Commercial,2
Reliance,Commercial,2
Longmont Power & Communications,Government,2
Facebook Ireland Ltd,Commercial,2
Scottish Common Services Agency,Government,2
E! Entertainment Television Inc.,Commercial,2
Universidad Popular Autonoma del Estado de Puebla,Education,2
Orangeburg-Calhoun Technical College,Education,2
Academic Computer Centre CYFRONET AGH,Education,2
Brandenburgische Technische Universitaet Cottbus-Senftenberg,Education,2
Universite de Geneve,Education,2
Colt Technology Services Co. Ltd.,Commercial,2
University of St Francis,Education,2
Homax Industries Limited,Commercial,2
Institute for Research in Fundamental Sciences,Education,2
InfoPlan,Commercial,2
LHTDL HK,Commercial,2
Rutgers University,Education,2
Kingston University,Education,1
Indiana University,Education,1
University of California,Education,1
Swansea University,Education,1
University of Utah,Education,1
Ohio State University,Education,1
The Johns Hopkins Medical Institutions,Education,1
Instituto Tecnologico Y de Estudios Superiores de Monterrey,Education,1
Universidade de Sao Paulo,Education,1
Navy Network Information Center,Military,1
University of Nebraska-Lincoln,Education,1
University of Pennsylvania,Education,1
University of California Los Angeles,Education,1
University of Pittsburgh,Education,1
Min. of Def. Debrezeit Defence Engineering,Education,1
Delft University of Technology Network,Education,1
Universidade Federal do Rio de Janeiro,Education,1
University of Wisconsin Madison,Education,1
Montgomery County Public Schools,Education,1
Northwestern University,Education,1
Department of Education,Government,1
Georgia Institute of Technology,Education,1
University of Southampton,Education,1
Boston College,Education,1
University of Cambridge,Education,1
Yale University,Education,1
Fisk University,Education,1
Northern Arizona University,Education,1
Lockheed Martin Corporation,Commercial,1
UnitedHealth Group Incorporated,Commercial,1
University of Chicago,Education,1
DoD Network Information Center,Military,1
California State University East Bay,Education,1
National Institutes of Health,Government,1
Florida Institute of Technology,Education,1
University of New Hampshire,Education,1
Bandar Seri Iskandar,Education,1
University of the Witwatersrand,Education,1
Universidad Nacional de Buenos Aires,Education,1
University of California Santa Barbara,Education,1
Cardiff University,Education,1
University of Georgia,Education,1
North Carolina Research and Education Network,Education,1
Liberty University,Education,1
University of Iowa,Education,1
Virginia Commonwealth University,Education,1
Villanova University,Education,1
Stanford University,Education,1
Carroll College,Education,1
University of North Carolina at Chapel Hill,Education,1
University of Nevada Reno,Education,1
University of Windsor,Education,1
Louisiana State University,Education,1
The University of the West Indiesst Augustine Camp,Education,1
Handy Networks LLC,Commercial,1
University of Kwazulu-Natal,Education,1
"St. John's University New York",Education,1
Universidad Nacional de Colombia,Education,1
Technische Universitaet Kaiserslautern,Education,1
Dartmouth College,Education,1
Algonquin College of Applied Arts & Technology,Education,1
University of Guelph,Education,1
Transmog Inc S.A.L,Commercial,1
Rice University,Education,1
Department of Interior,Government,1
Marshall University,Education,1
Georgia College & State University,Education,1
Duquesne University,Education,1
Memorial University of Newfoundland,Education,1
Universidade Federal de Minas Gerais,Education,1
Portland State University,Education,1
University of Louisiana at Lafayette,Education,1
University of California Santa Cruz,Education,1
University of South Carolina,Education,1
Kings County Office of Education,Education,1
University of Alberta,Education,1
Technische Universitaet Dortmund,Education,1
Oak Ridge National Laboratory,Government,1
"Queen's University",Education,1
Oxford University,Education,1
nTelos Lynchburg T1 WAN Assignments,Commercial,1
Kean University,Education,1
The University of St. Andrews,Education,1
Middle Tennessee State University,Education,1
The City University of New York,Education,1
California Institute of Technology,Education,1
Rose-Hulman Institute of Technology,Education,1
High Point University,Education,1
The MathWorks Incorporated,Education,1
Research Network University of Ghent,Education,1
Fundacion Innovat,Organization,1
University of Hawaii,Education,1
Universidade Tecnologica Federal do Parana,Commercial,1
Cal State Fullerton,Education,1
University of Missouri - Kansas City,Education,1
Bryant University,Education,1
University of Helsinki,Education,1
Heriot-Watt University,Education,1
University of New Mexico,Education,1
College of St. Scholastica,Education,1
Pern-Pakistan Education & Research Network is an,Library,1
Universitaet Augsburg,Education,1
Indian Institute of Technology Patna,Education,1
Worcester Polytechnic Institute,Education,1
Berklee College of Music,Education,1
San Mateo County Office of Education,Education,1
Davidson College,Education,1
"St. Mary's College of Maryland",Education,1
Purchase College - SUNY,Education,1
Onatel,Commercial,1
TOBB Ekonomi ve Teknoloji Universitesi,Education,1
Nvidia Corporation,Commercial,1
National Oceanic and Atmospheric Administration,Government,1
Masinde Muliro Unversity,Education,1
Ecole Normale Superieure de Lyon,Education,1
Carleton College,Education,1
University of Tulsa,Education,1
Stichting Duwo,Commercial,1
Contra Costa County Office of Education,Education,1
Sandia National Laboratories,Organization,1
Freie Universitaet Berlin,Education,1
State University of New York at Buffalo,Education,1
GlaxoSmithKline,Commercial,1
Mills College,Education,1
University of Tromso,Education,1
Reseau Optique du Campus de la Doua,Education,1
Bank of Nova Scotia,Commercial,1
City University of Hong Kong,Education,1
Indian Institute of Science Education and Research,Education,1
Lighthouse Networks Limited,Commercial,1
EVO North,Commercial,1
University of Cincinnati,Education,1
West Virginia Wesleyan College,Education,1
University of Exeter,Education,1
California State Polytechnic University - Pomona,Education,1
"Sparks Nugget Inc. DBA John Ascuaga's Nugget",Commercial,1
SB Comercio Ltda,Commercial,1
Monash University,Education,1
LaTrobe University,Education,1
Universidad Politecnica de Madrid,Education,1
Southeast University,Education,1
AutoEverSystems Corp.,Commercial,1
Slovak Technical University,Education,1
Charles Darwin University,Education,1
University of Seoul,Education,1
Walla Walla University,Education,1
Clarkson University,Education,1
Saveetha Institute of Medical and Technical Sciences,Organization,1
Pulaski Electric System,Organization,1
Shanghai University,Education,1
Karunya University Coimbatore,Education,1
Peking University New Campus Network,Education,1
Pure Pages Inc.,Commercial,1
The University of Electro-Communications,Education,1
Zantel Blocks for Dodoma,Organization,1
Universite de Fribourg,Education,1
Nara Institute of Science and Technology National University Corporation,Education,1
Copel Geracao e Transmissao S.A.,Commercial,1
Delhi University North Campus,Education,1
National University of Science and Technology,Education,1
Universitaire Instelling Antwerpen - Campus Net,Education,1
Universidad de Alcala de Henares,Education,1
Tecnocolor TT Telecomunicacions SL,Commercial,1
University of Mostaganem,Education,1
Consejo Superior de Investigaciones,Organization,1
"Centre Interuniversitaire de Traitement de l'Information",Commercial,1
Universite Libre de Bruxelles,Education,1
De Montfort University,Education,1
Izmir University of Economics,Education,1
Universite Pierre et Marie Curie,Education,1
"Reseau de l'Unite de Recherche Rhone-Alpes de l'INRIA",Commercial,1
Universidad de Almeria,Education,1
OCE Technologies B.V.,Commercial,1
Central University of Karnataka,Education,1
Bacau,Commercial,1
University of South Africa,Education,1
University of Khartoum,Education,1
Kenya Education Network,Education,1
Sichuan University,Education,1
The Episcopal Academy,Education,1
Tangaza College,Education,1
Canton Public Schools,Education,1
Western Kentucky University,Education,1
Readylink Internet Services Limited Coimbatore,Commercial,1
Westnet Inc.,Commercial,1
Cifrova Kabelna Korporacia EOOD,Commercial,1
Kutztown University,Education,1
University of Chester,Education,1
Angelo State University,Education,1
Expan DC,Commercial,1
Escuela Superior Politecnica del Litoral,Education,1
Days Inn-San Francisco,Commercial,1
Icddr B,Organization,1
SES Astra S.A.,Commercial,1
Shanghai Textile College,Education,1
National Institute of Technology Raipur,Organization,1
G3 Comms Limited,Commercial,1
Instytut Podstawowych Problemow Techniki,Commercial,1
Amasya Universitesi,Education,1
Universidad Politecnica de Cartagena,Education,1
Kiwi Networks S A P I de CV,Commercial,1
Jacksonville University,Education,1
St. Norbert College,Education,1
University of Jamestowm,Education,1
United World College of Sea,Education,1
Institut fuer Klimafolgenforschung e.V.,Commercial,1
Stockholms Stadsnat AB,Commercial,1
