Country/Region,Downloads
Armenia,1
Bosnia & Herzegovina,1
Barbados,1
Burkina Faso,1
Benin,1
Brunei Darussalam,1
Bahamas,1
Botswana,1
Belarus,1
"Côte d'Ivoire",1
Costa Rica,1
Cuba,1
Cabo Verde,1
Gabon,1
Iceland,1
Cambodia,1
Cayman Islands,1
"Lao People's Democratic Republic",1
Liberia,1
Lesotho,1
Luxembourg,1
Montenegro,1
Madagascar,1
Mozambique,1
Papua New Guinea,1
Palestinian Territories,1
Reunion,1
Seychelles,1
Somalia,1
Tunisia,1
Yemen,1
Zambia,1
Bahrain,2
"Bolivia, Plurinational State Of",2
Dominican Republic,2
Fiji,2
Georgia,2
Jamaica,2
Lithuania,2
Latvia,2
"Macedonia, The Former Yugoslav Republic Of",2
Mongolia,2
Namibia,2
Puerto Rico,2
Trinidad And Tobago,2
Azerbaijan,3
Guatemala,3
Moldova,3
Mauritius,3
Sierra Leone,3
El Salvador,3
Swaziland,3
Uruguay,3
"Venezuela, Bolivarian Republic Of",3
Argentina,4
Mali,4
Malta,4
Malawi,4
Slovakia,4
Oman,5
Slovenia,5
Rwanda,6
Uzbekistan,6
Croatia,7
Panama,7
Uganda,7
Zimbabwe,7
Hungary,8
"Tanzania, United Republic Of",9
Bulgaria,10
Cyprus,11
Honduras,11
Jordan,11
Nepal,11
Serbia,11
Iraq,12
Saudi Arabia,12
Kazakhstan,14
Sri Lanka,14
Ukraine,14
Cameroon,15
Algeria,15
Switzerland,16
Austria,17
Belgium,18
Czech Republic,18
Israel,19
Morocco,19
United Arab Emirates,24
Norway,25
Portugal,25
Taiwan,26
Viet Nam,26
Lebanon,28
Egypt,29
Ghana,29
Greece,30
Thailand,30
Ireland,32
Russian Federation,33
Finland,35
Hong Kong,35
Kenya,35
South Africa,36
New Zealand,37
Sweden,38
Poland,40
Bangladesh,43
Japan,45
Peru,46
Romania,46
Spain,50
"Iran, Islamic Republic Of",50
Indonesia,52
Netherlands,57
Denmark,61
Ethiopia,63
Colombia,66
"Korea, Republic Of",70
Singapore,73
Nigeria,79
Pakistan,90
Australia,98
Mexico,98
Malaysia,103
Italy,106
Ecuador,125
Brazil,151
Chile,157
Philippines,160
Turkey,169
Germany,178
United Kingdom,222
Canada,227
India,549
China,580
France,1384
United States,4738
