Country/Region,Downloads
Bosnia & Herzegovina,1
Burkina Faso,1
Bahrain,1
"Bolivia, Plurinational State Of",1
Bahamas,1
Bhutan,1
Eritrea,1
Grenada,1
Gambia,1
Guyana,1
Honduras,1
Haiti,1
Kyrgyzstan,1
Cayman Islands,1
Monaco,1
Maldives,1
Malawi,1
Norfolk Island,1
Nicaragua,1
Seychelles,1
Sudan,1
Sierra Leone,1
Senegal,1
El Salvador,1
Uruguay,1
"Venezuela, Bolivarian Republic Of",1
Albania,2
Benin,2
Costa Rica,2
Dominica,2
Dominican Republic,2
Guatemala,2
Lesotho,2
Moldova,2
Mongolia,2
Somalia,2
Virgin Islands (US),2
Brunei Darussalam,3
Belarus,3
Cuba,3
Iceland,3
Jamaica,3
Saint Kitts And Nevis,3
Kuwait,3
Luxembourg,3
Papua New Guinea,3
Slovakia,3
Suriname,3
Trinidad And Tobago,3
Armenia,4
Botswana,4
"Côte d'Ivoire",4
Cyprus,4
Palestinian Territories,4
Rwanda,4
Yemen,4
Democratic Republic Of Congo,5
Cameroon,5
Jordan,5
Kazakhstan,5
Tunisia,5
Uzbekistan,5
Latvia,6
Oman,6
Puerto Rico,6
Qatar,7
Cambodia,8
Slovenia,8
Uganda,8
Croatia,9
Mauritius,9
Bulgaria,10
"Macedonia, The Former Yugoslav Republic Of",10
Georgia,11
Mozambique,11
Ecuador,12
Myanmar,12
Lithuania,13
Czech Republic,14
Estonia,14
Lebanon,14
Libya,14
Nepal,14
Greece,16
"Tanzania, United Republic Of",16
United Arab Emirates,17
Serbia,18
Zimbabwe,18
Chile,19
Hungary,19
Morocco,19
Algeria,21
Argentina,23
Ireland,23
Finland,24
Austria,25
Israel,25
Sri Lanka,25
Portugal,25
Saudi Arabia,25
Ukraine,26
Zambia,26
Azerbaijan,27
Belgium,31
Iraq,32
Poland,32
Switzerland,33
Kenya,35
Taiwan,35
Bangladesh,44
Denmark,44
New Zealand,44
Romania,44
Egypt,47
"Iran, Islamic Republic Of",48
Ethiopia,50
Thailand,52
South Africa,56
Norway,60
Sweden,61
Peru,72
Malaysia,74
Viet Nam,76
"Korea, Republic Of",82
Mexico,83
Nigeria,83
Ghana,85
Japan,89
Turkey,94
Hong Kong,96
Brazil,112
Spain,112
Pakistan,116
Italy,117
Russian Federation,124
Netherlands,125
Colombia,138
France,164
Indonesia,181
Australia,209
Philippines,223
Germany,249
Singapore,358
Canada,394
United Kingdom,415
India,774
China,782
United States,6040
