Country/Region,Downloads
Afghanistan,1
Bosnia & Herzegovina,1
Barbados,1
Bahamas,1
Bhutan,1
Botswana,1
Cuba,1
Cabo Verde,1
Georgia,1
Guernsey,1
Guatemala,1
Haiti,1
Iceland,1
Jamaica,1
Liberia,1
Lesotho,1
Lithuania,1
Latvia,1
"Macedonia, The Former Yugoslav Republic Of",1
Myanmar,1
Macao,1
Malta,1
Mauritius,1
New Caledonia,1
Papua New Guinea,1
Puerto Rico,1
Slovenia,1
Somalia,1
El Salvador,1
Swaziland,1
Chad,1
Turkmenistan,1
Trinidad And Tobago,1
Uruguay,1
Benin,2
"Bolivia, Plurinational State Of",2
Belarus,2
Fiji,2
Kuwait,2
"Lao People's Democratic Republic",2
Luxembourg,2
Maldives,2
Namibia,2
Tunisia,2
"Tanzania, United Republic Of",2
Zambia,2
Brunei Darussalam,3
Cyprus,3
Kyrgyzstan,3
Cambodia,3
Palestinian Territories,3
Armenia,4
Bulgaria,4
Dominican Republic,4
Estonia,4
Libya,4
Oman,4
Syrian Arab Republic,4
"Venezuela, Bolivarian Republic Of",4
Honduras,5
Albania,6
Ecuador,6
Guyana,6
Kazakhstan,6
Uzbekistan,6
Croatia,7
Jordan,7
Malawi,7
Rwanda,7
Argentina,8
Costa Rica,8
Serbia,8
Burkina Faso,10
Sri Lanka,10
Nepal,10
Zimbabwe,10
Slovakia,11
Uganda,11
Cameroon,12
Hungary,12
Iraq,12
Panama,12
Finland,15
Lebanon,15
New Zealand,18
Chile,21
Ukraine,21
Viet Nam,21
United Arab Emirates,22
Bangladesh,22
Denmark,22
Czech Republic,23
Algeria,23
Saudi Arabia,25
Greece,26
Austria,29
Belgium,29
Hong Kong,30
Israel,30
Ghana,31
Ireland,31
Peru,32
Taiwan,33
South Africa,33
"Iran, Islamic Republic Of",35
Romania,38
Kenya,39
Morocco,39
Thailand,39
Sweden,42
Switzerland,44
Portugal,44
Nigeria,46
Russian Federation,50
Egypt,51
Spain,58
Japan,58
Poland,58
Indonesia,60
"Korea, Republic Of",62
Netherlands,64
Norway,68
Mexico,87
Colombia,89
France,92
Australia,100
Brazil,101
Pakistan,101
Italy,105
Singapore,111
Ethiopia,125
Turkey,144
Malaysia,153
Germany,156
Canada,232
Philippines,235
China,283
United Kingdom,292
India,469
United States,4041
