Country/Region,Downloads
France,3876
United States,2036
Poland,622
Germany,351
India,137
Canada,122
Australia,108
China,106
United Kingdom,78
Romania,63
Singapore,61
Ethiopia,55
Italy,47
Mexico,41
Indonesia,39
Brazil,35
Haiti,35
Philippines,34
Spain,33
Pakistan,30
Malaysia,28
Nigeria,22
South Africa,20
Colombia,19
Sweden,19
"Iran, Islamic Republic Of",16
Kenya,16
Netherlands,16
Norway,15
Belgium,14
Finland,14
Greece,14
"Korea, Republic Of",14
Ukraine,13
Lebanon,12
Turkey,12
Bangladesh,11
Denmark,11
Japan,11
Russian Federation,11
Chile,10
Croatia,10
Israel,10
Switzerland,9
Hong Kong,9
Ireland,9
New Zealand,9
Taiwan,9
Moldova,8
Thailand,8
Uganda,8
Argentina,7
Ghana,7
Saudi Arabia,7
Trinidad And Tobago,7
Ecuador,6
Jordan,6
Portugal,6
Bulgaria,5
"Bolivia, Plurinational State Of",5
Czech Republic,5
Egypt,5
Hungary,5
Lithuania,5
Morocco,5
Nepal,5
"Tanzania, United Republic Of",5
Democratic Republic Of Congo,4
Algeria,4
Iraq,4
Jamaica,4
Sri Lanka,4
Peru,4
Slovakia,4
Zimbabwe,4
United Arab Emirates,3
Austria,3
Cuba,3
Montenegro,3
Puerto Rico,3
Rwanda,3
Zambia,3
Albania,2
Bahrain,2
"Côte d'Ivoire",2
Dominican Republic,2
Luxembourg,2
Mongolia,2
Serbia,2
Sudan,2
Slovenia,2
Syrian Arab Republic,2
Uruguay,2
Yemen,2
Burkina Faso,1
Botswana,1
Belarus,1
Republic Of Congo,1
Cameroon,1
Cyprus,1
Estonia,1
Georgia,1
Guatemala,1
Guyana,1
Lesotho,1
Latvia,1
Myanmar,1
Namibia,1
Niger,1
Oman,1
Paraguay,1
Qatar,1
Senegal,1
Suriname,1
El Salvador,1
Tajikistan,1
"Venezuela, Bolivarian Republic Of",1
Virgin Islands (US),1
Viet Nam,1
