Country/Region,Downloads
United States,3305
France,2917
China,891
India,315
Hong Kong,307
Canada,157
Australia,131
Germany,129
United Kingdom,124
Brazil,105
Poland,89
Netherlands,73
Russian Federation,65
Singapore,58
Italy,57
Philippines,57
Turkey,55
Indonesia,54
Mexico,53
"Korea, Republic Of",49
Pakistan,45
Malaysia,39
Colombia,38
Thailand,38
Spain,37
Ghana,36
Ethiopia,35
Nigeria,33
South Africa,33
Romania,30
Ireland,29
Ecuador,26
Denmark,25
Japan,24
Portugal,22
Sweden,22
Czech Republic,20
Finland,20
Egypt,19
Israel,19
Kenya,18
Norway,18
Lebanon,17
United Arab Emirates,16
Switzerland,16
Peru,16
Chile,15
Greece,13
Iceland,13
Sri Lanka,13
Morocco,13
Nepal,13
Belgium,12
Taiwan,12
Viet Nam,12
Hungary,11
"Iran, Islamic Republic Of",11
Saudi Arabia,11
"Tanzania, United Republic Of",11
Cameroon,9
Ukraine,9
Bangladesh,8
Iraq,8
Argentina,6
Jordan,6
Malawi,6
Zambia,6
Algeria,5
New Zealand,5
El Salvador,5
Kazakhstan,4
Macao,4
Slovenia,4
Slovakia,4
Uzbekistan,4
Zimbabwe,4
Austria,3
Latvia,3
Oman,3
Qatar,3
Bulgaria,2
Honduras,2
Croatia,2
Haiti,2
Cambodia,2
Kuwait,2
Lithuania,2
Luxembourg,2
Moldova,2
Myanmar,2
Mongolia,2
Serbia,2
Rwanda,2
Sudan,2
Senegal,2
Somalia,2
Albania,1
Armenia,1
Bosnia & Herzegovina,1
Burundi,1
Bhutan,1
Botswana,1
Belarus,1
Costa Rica,1
Cuba,1
Cyprus,1
Dominica,1
Dominican Republic,1
Estonia,1
Georgia,1
Guernsey,1
Guatemala,1
Jamaica,1
Libya,1
Madagascar,1
"Macedonia, The Former Yugoslav Republic Of",1
Mozambique,1
Turkmenistan,1
Tunisia,1
Trinidad And Tobago,1
Uruguay,1
"Venezuela, Bolivarian Republic Of",1
Vanuatu,1
